@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "CI_CELL1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720814
@ CHARGE           %le                   1
@ ENERGY           %le                  20
@ PC               %le         19.97797901
@ GAMMA            %le         21.31577865
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ LENGTH           %le                1000
@ ALFA             %le        0.1789932276
@ ORBIT5           %le                  -0
@ GAMMATR          %le         2.363642011
@ Q1               %le         2.395724244
@ Q2               %le         2.395724244
@ DQ1              %le        -2.518384148
@ DQ2              %le        -2.518384148
@ DXMAX            %le         34.45748962
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         100.0267292
@ BETYMAX          %le         100.0267292
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         29.03430831
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %09s "Example 1"
@ ORIGIN           %16s "5.03.07 Linux 64"
@ DATE             %08s "23/05/18"
@ TIME             %08s "20.56.04"
* NAME               KEYWORD                             S                  L              ANGLE                K0L                K1L                K2L                K3L                K4L                 E1                 E2 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "CI_CELL1$START"    "MARKER"                             0                  0                  0                  0                  0                  0                  0                  0                  0                  0
 "START_MACHINE"     "MARKER"                             0                  0                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                          0                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_0"           "DRIFT"                           3.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                        7.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_1"           "DRIFT"                           12.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                       17.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_2"           "DRIFT"                          21.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                         25                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
 "DRIFT_3"           "DRIFT"                          28.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                       32.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_4"           "DRIFT"                           37.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                       42.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_5"           "DRIFT"                          46.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QF"                "MULTIPOLE"                         50                  0                  0                  0             0.0294                  0                  0                  0                  0                  0
 "DRIFT_6"           "DRIFT"                          53.75                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                       57.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_7"           "DRIFT"                           62.5                 10                  0                  0                  0                  0                  0                  0                  0                  0
 "MB"                "MULTIPOLE"                       67.5                  0                  0      0.07853981634                  0                  0                  0                  0                  0                  0
 "DRIFT_8"           "DRIFT"                          71.25                7.5                  0                  0                  0                  0                  0                  0                  0                  0
 "QD"                "MULTIPOLE"                         75                  0                  0                  0            -0.0294                  0                  0                  0                  0                  0
