# From merlin npart=1000000000
# bin x xp y yp dp
0 313641 249658 636613 458312 0 
1 26831 24393 56892 46694 124384547 
2 29460 26920 62692 51864 1484253 
3 32195 29017 68425 57136 716455 
4 34626 32395 75322 63472 461399 
5 38207 36022 82320 69855 341442 
6 41743 39510 90889 78047 272315 
7 45660 43929 100365 86950 225041 
8 50293 48680 110753 96603 191642 
9 54795 53448 120686 107539 166637 
10 59736 59477 133540 119941 148984 
11 66016 65724 146975 133802 134122 
12 71707 72301 161769 149792 122090 
13 79737 80666 178396 166638 113286 
14 86756 88604 198144 185743 105171 
15 95066 98878 218134 206597 99227 
16 104590 108741 240752 230609 93714 
17 114704 120743 265855 257941 88853 
18 125312 133211 293772 285744 84656 
19 138324 146913 323424 317921 81082 
20 152199 162928 356848 352852 77329 
21 167200 180220 394338 392910 74090 
22 183595 197559 438168 434512 71269 
23 202411 217674 481922 479773 68591 
24 221285 241663 535128 528623 66688 
25 246433 264093 593315 583006 65118 
26 272679 290330 657826 639401 62829 
27 302409 320586 730404 701584 60521 
28 336307 352646 812955 769443 58961 
29 375361 390411 911244 844034 57706 
30 419396 432207 1025620 925021 56286 
31 472668 481075 1160200 1017334 55112 
32 534104 537277 1323005 1122927 53952 
33 612564 607054 1518894 1257607 53070 
34 703478 690616 1769652 1422712 52036 
35 816722 792575 2092729 1646777 50809 
36 955679 920066 2512166 1952838 50135 
37 1133227 1082799 3075073 2383495 50021 
38 1347502 1286672 3834575 2994491 48383 
39 1619829 1545771 4848870 3840653 48457 
40 1957197 1878444 6171381 4994787 47713 
41 2370262 2286776 7760254 6495019 47183 
42 2870788 2788266 9435841 8272543 47128 
43 3467095 3384984 10794623 10056243 46403 
44 4148497 4080404 11368451 11393477 45976 
45 4892634 4866655 10887889 11775540 45763 
46 5666311 5675325 9410101 10981957 45190 
47 6412660 6474995 7262460 9273371 45032 
48 7062457 7189410 4885265 7132588 44833 
49 7547936 7711552 2666159 5100778 43792 
50 7801343 7989209 3316535 3498837 43469 
51 7800513 8000776 2879011 2426477 43049 
52 7549755 7714048 2563590 1792143 43082 
53 7069011 7192842 2255778 1441741 42532 
54 6423727 6486511 1927634 1248806 41977 
55 5679352 5691955 1597640 1126766 42017 
56 4905435 4871771 1275692 1035016 41494 
57 4154719 4087929 993612 948214 41627 
58 3473596 3386570 755003 861155 41473 
59 2877678 2791825 569839 775412 41580 
60 2371985 2289047 429757 688703 40863 
61 1960718 1876993 328480 607544 40657 
62 1620726 1550971 253992 530858 40395 
63 1348427 1289380 201704 458872 40784 
64 1133150 1084396 164710 398818 40181 
65 957474 921857 136248 340932 40298 
66 817058 792947 115551 295165 40078 
67 705346 689257 98215 253113 39903 
68 612501 606850 85077 219961 39689 
69 534999 537904 73932 191577 39572 
70 472986 481747 64602 168146 39530 
71 420368 433321 56815 148279 39436 
72 374740 390065 49465 131006 39470 
73 334359 353014 43366 118186 39513 
74 301658 320455 38118 105492 39113 
75 272585 290260 33607 95603 39713 
76 245158 265989 29343 86521 39641 
77 222809 240130 25657 78911 39576 
78 202130 217820 22806 71845 39160 
79 182935 197711 20041 65494 39251 
80 167036 179715 17736 59655 39450 
81 151772 162906 15543 55032 39714 
82 137812 148238 13865 50089 39715 
83 126039 134095 11870 45700 39683 
84 114825 120382 10494 42131 39477 
85 104819 109267 9355 38075 39704 
86 95342 98610 8308 35308 39757 
87 87155 89468 7295 32030 39327 
88 79613 80383 6512 29253 39794 
89 72489 72946 5664 26660 39736 
90 65971 65880 5122 24045 39305 
91 59998 59636 4456 22241 39520 
92 55212 53738 4040 19905 40023 
93 50519 48577 3545 18464 39620 
94 45847 43528 3225 16646 39890 
95 41742 39754 2720 15165 39931 
96 38175 36006 2494 13874 39744 
97 35424 32728 2173 12845 39849 
98 32175 29514 1943 11670 39655 
99 29273 26875 1751 10605 39820 
100 27136 24433 1525 9699 39816 
101 314458 249865 13827 104176 832412 
