#From merlin (sixtrack physics) with 1e8 particles
#i x xp dp
0 0.000141552 7.8541e-05 0.1178929
1 1.6109e-05 1.1641e-05 0.001275915
2 1.7958e-05 1.3395e-05 0.000727711
3 1.9891e-05 1.5082e-05 0.000510572
4 2.1964e-05 1.7238e-05 0.000390787
5 2.4567e-05 1.9813e-05 0.000320056
6 2.7128e-05 2.2394e-05 0.000274429
7 3.0157e-05 2.5903e-05 0.00023731
8 3.3806e-05 2.9344e-05 0.000208107
9 3.7539e-05 3.3201e-05 0.000184264
10 4.1685e-05 3.8065e-05 0.000165381
11 4.6443e-05 4.3273e-05 0.000151396
12 5.1424e-05 4.8402e-05 0.000139751
13 5.7219e-05 5.5111e-05 0.000129427
14 6.3143e-05 6.2479e-05 0.000121073
15 7.0185e-05 7.0106e-05 0.000114018
16 7.7905e-05 7.8199e-05 0.000107471
17 8.671e-05 8.8531e-05 0.000100936
18 9.6155e-05 9.8652e-05 9.6426e-05
19 0.000106003 0.000111376 9.0644e-05
20 0.000117551 0.00012463 8.7084e-05
21 0.000130869 0.000139009 8.2885e-05
22 0.00014487 0.000154485 7.886e-05
23 0.000160527 0.000171255 7.476e-05
24 0.000178854 0.000190788 7.1289e-05
25 0.000199647 0.000210299 6.8534e-05
26 0.000221828 0.000234225 6.5813e-05
27 0.000249509 0.000260488 6.4098e-05
28 0.000279571 0.00028881 6.1061e-05
29 0.000316422 0.000322316 5.9213e-05
30 0.000356806 0.000360512 5.709e-05
31 0.000406481 0.000403322 5.587e-05
32 0.000465969 0.000456186 5.4062e-05
33 0.000535856 0.000519923 5.2572e-05
34 0.000624492 0.000598608 5.0978e-05
35 0.000733572 0.000696226 4.9645e-05
36 0.000867087 0.000819676 4.851e-05
37 0.001037584 0.00097942 4.7032e-05
38 0.001249962 0.001176479 4.5958e-05
39 0.001511438 0.001433943 4.4777e-05
40 0.001843614 0.001755036 4.3745e-05
41 0.002251151 0.002159723 4.3119e-05
42 0.002743173 0.002662207 4.1514e-05
43 0.00333646 0.00326012 4.1232e-05
44 0.004004305 0.00395681 4.0534e-05
45 0.004736603 0.00473101 3.9327e-05
46 0.005505604 0.005544478 3.8947e-05
47 0.006247384 0.006344969 3.7858e-05
48 0.006885181 0.007049198 3.7201e-05
49 0.007369397 0.007578352 3.6579e-05
50 0.007627916 0.007858955 3.5698e-05
51 0.007622813 0.007867588 3.4955e-05
52 0.007371419 0.007583337 3.4163e-05
53 0.006895212 0.007056817 3.3426e-05
54 0.006252404 0.006349421 3.2859e-05
55 0.005509652 0.005553872 3.2358e-05
56 0.004750243 0.004736687 3.1827e-05
57 0.004009533 0.00396085 3.0977e-05
58 0.003334764 0.00326229 3.0331e-05
59 0.00275054 0.002663116 2.9892e-05
60 0.002255553 0.002165196 2.9278e-05
61 0.00184797 0.001759896 2.8807e-05
62 0.001516107 0.001435192 2.8331e-05
63 0.001248591 0.001179016 2.8254e-05
64 0.001036543 0.00097741 2.7414e-05
65 0.000868594 0.000820996 2.7136e-05
66 0.00073269 0.000696263 2.6696e-05
67 0.000625296 0.000598598 2.6253e-05
68 0.000537604 0.000520276 2.5837e-05
69 0.000465416 0.00045744 2.5673e-05
70 0.000405614 0.000404108 2.524e-05
71 0.000356561 0.000360244 2.4574e-05
72 0.00031563 0.000322637 2.449e-05
73 0.000279293 0.000289895 2.4019e-05
74 0.000249824 0.000261263 2.3914e-05
75 0.000222377 0.000234102 2.3836e-05
76 0.000199645 0.000211422 2.3279e-05
77 0.00017934 0.000190655 2.3424e-05
78 0.000161497 0.000170769 2.2868e-05
79 0.000144835 0.00015428 2.2507e-05
80 0.000130435 0.000137971 2.2382e-05
81 0.000118014 0.000124432 2.1899e-05
82 0.000105812 0.000110871 2.1616e-05
83 9.6533e-05 9.8989e-05 2.1427e-05
84 8.624e-05 8.824e-05 2.1094e-05
85 7.8181e-05 7.8661e-05 2.09e-05
86 7.0547e-05 7.0109e-05 2.0657e-05
87 6.3408e-05 6.2545e-05 2.0415e-05
88 5.6829e-05 5.518e-05 2.0147e-05
89 5.1608e-05 4.8945e-05 1.9732e-05
90 4.6543e-05 4.3079e-05 1.9927e-05
91 4.2027e-05 3.7986e-05 1.949e-05
92 3.7668e-05 3.365e-05 1.9349e-05
93 3.3781e-05 2.9473e-05 1.9272e-05
94 3.0373e-05 2.5973e-05 1.9119e-05
95 2.7258e-05 2.2679e-05 1.905e-05
96 2.4651e-05 1.9846e-05 1.8755e-05
97 2.2083e-05 1.7044e-05 1.856e-05
98 1.9924e-05 1.5315e-05 1.8264e-05
99 1.8052e-05 1.3493e-05 1.8163e-05
100 1.6031e-05 1.1656e-05 1.8042e-05
101 0.000141834 7.8641e-05 0.000755301
